parking, state, address1, facilitytype, iconalttext, sanitarydisposal, accessibleunisex, lastupdate, name, babychange, parkingaccessible, showers, toilettype, isopen, sharpsdisposal, accessiblefemale, status, openinghoursnote, accessiblenote, male, paymentrequired, parkingnote, accessibleparkingnote, postcode, keyrequired, accessiblemale, mlak, accessnote, boundedBy, female, addressnote, accesslimited, openinghoursschedule, unisex, drinkingwater, town, notes
1,"New South Wales","Corner Bennett Road & Endeavour Avenue","Shopping centre","Male and Female, or Unisex (Accessible)",1,1,"2013-07-19Z","St Clair Shopping Centre",1,1,0,"Sewerage","Variable",0,0,"Verified","Closed Christmas Day, Good Friday, Easter Sunday and Boxing Day.",null,1,0,null,null,"2760",0,0,0,null,[150.78958425,-33.79460887,150.78958425,-33.79460887],1,"Toilets located near the Centre Management Office and the Food Court.",0,"Mon-Fri 7am-12am; Sat 7am-9pm; Sun 7am-8pm",null,0,"Colyton","Parents room located near Centre Management Office which includes private feeding area, adults and childrens toilet and a bottle warmer."
1,"New South Wales","Bunting Street","Shopping centre","Male and Female, or Unisex (Accessible)",1,1,"2010-06-28Z","Emerton Village Shopping Centre",1,1,0,"Sewerage","Variable",1,0,"Verified","Open 10am to 4pm on public holidays. Closed Christmas Day and Good Friday.",null,1,0,null,null,"2770",0,0,0,null,[150.80896168,-33.74347969,150.80896168,-33.74347969],1,"Toilets located near the Chemist",0,"7:30am-10pm",null,1,"Emerton",null
0,"New South Wales","1055 Great Western Hwy","Service station","Male and Female, or Unisex",0,0,"2009-05-22Z","BP Connect Minchinbury",0,0,0,"Sewerage","AllHours",0,0,"Unverified",null,null,1,0,null,null,"2770",0,0,0,null,[150.8249607,-33.78194887,150.8249607,-33.78194887],1,null,0,null,null,0,"Minchinbury",null
0,"New South Wales","646 Richmond Rd","Service station","Male and Female, or Unisex",0,0,"2009-05-22Z","BP Connect Glendenning",0,0,0,"Sewerage","AllHours",0,0,"Unverified",null,null,1,0,null,null,"2761",0,0,0,null,[150.853457,-33.737278,150.853457,-33.737278],1,null,0,null,null,0,"Glendenning",null
0,"New South Wales","481 Luxford Road","Service station","Male and Female, or Unisex",0,0,"2009-05-22Z","BP Shalvey",0,0,0,"Sewerage","AllHours",0,0,"Unverified",null,null,1,0,null,null,"2770",0,0,0,null,[150.805106,-33.72981,150.805106,-33.72981],1,null,0,null,null,0,"Mount Druitt",null
1,"New South Wales","Cnr JERSEY & HYATTS RD","Shopping centre","Male and Female, or Unisex (Accessible)",1,1,"2010-06-11Z","Plumpton Marketplace",1,1,0,"Sewerage","Variable",0,0,"Unverified",null,null,1,0,null,null,"2761",0,0,0,null,[150.83706,-33.7442,150.83706,-33.7442],1,null,0,null,null,0,"Plumpton",null
0,"New South Wales","Shepherd Street","Sporting facility","Male and Female, or Unisex",0,0,"2008-04-10Z","Potters Park",0,0,0,null,"Variable",0,0,"Verified","Facilities are only open for sporting and community events",null,1,0,null,null,"2760",0,0,0,null,[150.7885009,-33.78595917,150.7885009,-33.78595917],1,null,0,null,null,0,"Colyton",null
0,"New South Wales","Sydney Street",null,"Male and Female, or Unisex",0,0,"2008-04-10Z","St Marys Cemetery",0,0,0,null,"DaylightHours",0,0,"Verified",null,null,1,0,null,null,"2760",0,0,0,null,[150.7873683,-33.77258996,150.7873683,-33.77258996],1,null,0,null,null,0,"St Marys",null
0,"New South Wales","Woodview Road","Sporting facility","Male and Female, or Unisex",0,0,"2008-04-10Z","Ridge Park",0,0,0,null,"Variable",0,0,"Verified","Facilities are only open for sporting and community events",null,1,0,null,null,"2760",0,0,0,null,[150.7944023,-33.77375697,150.7944023,-33.77375697],1,null,0,null,null,0,"Oxley Park",null
0,"New South Wales","Boronia Road","Park or reserve","Male and Female, or Unisex",0,0,"2008-04-10Z","Boronia Park",0,0,0,null,"Variable",0,0,"Verified","Facilities are only open for sporting and community events",null,1,0,null,null,"2760",0,0,0,null,[150.790574,-33.75613169,150.790574,-33.75613169],1,null,0,null,null,0,"North St Marys",null
